word,postings
curry,"[(0, 2), (5, 1), (6, 2), (7, 2), (9, 3), (10, 3), (11, 2), (12, 1), (17, 1), (19, 3), (21, 4), (22, 3), (23, 3), (25, 1), (26, 2), (32, 5), (33, 3), (39, 2), (43, 1), (45, 2), (54, 2), (56, 4), (61, 2), (65, 2), (66, 3), (70, 1), (72, 2), (73, 2), (80, 1), (83, 2), (84, 3), (90, 3), (92, 1), (95, 2), (97, 2), (98, 1), (99, 3), (103, 1), (104, 1), (107, 2), (112, 1), (113, 2), (116, 1), (118, 2), (121, 1), (123, 1), (127, 1), (131, 1), (133, 3), (140, 1), (143, 1), (144, 1), (148, 1), (149, 2), (150, 1), (152, 1), (153, 1), (159, 1), (162, 2), (168, 1), (171, 1), (174, 1), (176, 1), (179, 1), (180, 1), (181, 1), (183, 1), (188, 3), (191, 1), (194, 1), (195, 2)]"
from,"[(0, 1), (9, 1), (10, 1), (11, 1), (15, 2), (17, 3), (19, 1), (21, 1), (22, 1), (23, 1), (26, 1), (27, 1), (28, 1), (29, 1), (34, 1), (35, 1), (39, 1), (47, 1), (48, 2), (52, 1), (56, 1), (60, 1), (66, 3), (67, 1), (68, 1), (71, 1), (80, 1), (83, 1), (87, 1), (89, 1), (91, 1), (92, 1), (97, 1), (98, 2), (104, 1), (108, 1), (109, 2), (111, 1), (118, 1), (127, 1), (128, 1), (129, 1), (130, 1), (132, 1), (133, 2), (135, 2), (137, 1), (140, 1), (144, 1), (149, 2), (152, 2), (153, 1), (162, 1), (166, 1), (168, 1), (170, 1), (172, 2), (173, 1), (174, 2), (184, 1), (189, 1), (191, 1), (195, 1)]"
karnataka,"[(0, 1), (14, 1), (83, 1), (85, 2), (109, 1), (113, 1), (130, 1), (140, 1), (166, 2), (169, 2), (172, 2), (194, 1)]"
also,"[(0, 3), (3, 1), (9, 1), (14, 1), (15, 1), (21, 1), (22, 1), (34, 1), (41, 1), (48, 1), (60, 1), (76, 1), (81, 1), (83, 1), (85, 1), (86, 1), (89, 1), (99, 1), (103, 1), (105, 1), (107, 1), (117, 1), (118, 1), (119, 2), (122, 1), (125, 1), (129, 1), (143, 1), (146, 1), (150, 1), (159, 1), (160, 1), (163, 1), (171, 1), (188, 1), (191, 1), (194, 1), (201, 1)]"
known,"[(0, 3), (22, 1), (39, 1), (65, 1), (78, 1), (81, 1), (85, 1), (101, 1), (107, 1), (129, 1), (143, 1), (173, 1), (195, 1)]"
as,"[(0, 2), (1, 2), (3, 2), (9, 1), (13, 1), (16, 1), (17, 1), (19, 1), (21, 1), (22, 1), (36, 1), (37, 2), (39, 1), (41, 2), (53, 1), (58, 1), (60, 1), (63, 2), (64, 1), (65, 1), (71, 1), (73, 2), (74, 1), (75, 1), (81, 1), (83, 1), (85, 3), (86, 1), (89, 1), (95, 1), (102, 1), (103, 1), (107, 2), (109, 1), (110, 1), (111, 1), (115, 1), (118, 2), (119, 1), (129, 1), (133, 1), (138, 1), (139, 1), (143, 1), (144, 1), (151, 2), (157, 2), (158, 1), (162, 1), (163, 2), (165, 2), (181, 1), (196, 1), (198, 1)]"
big,"[(0, 1)]"
thyme,"[(0, 1)]"
in,"[(0, 5), (1, 2), (3, 3), (4, 4), (5, 1), (8, 2), (9, 5), (11, 2), (12, 3), (13, 2), (15, 1), (16, 2), (18, 2), (19, 2), (20, 1), (21, 3), (22, 1), (24, 2), (25, 3), (26, 4), (27, 3), (28, 1), (29, 1), (30, 1), (31, 1), (32, 1), (33, 1), (34, 2), (36, 2), (37, 3), (38, 1), (39, 1), (41, 1), (44, 1), (45, 1), (46, 2), (47, 1), (48, 2), (49, 4), (50, 3), (51, 1), (53, 1), (56, 3), (58, 3), (60, 2), (63, 3), (65, 3), (69, 1), (70, 2), (71, 1), (72, 3), (73, 1), (74, 1), (75, 1), (76, 1), (77, 2), (78, 3), (80, 1), (83, 2), (84, 1), (85, 1), (86, 1), (87, 2), (88, 1), (89, 1), (90, 3), (91, 2), (92, 1), (93, 2), (94, 2), (95, 2), (96, 1), (99, 4), (100, 2), (101, 2), (102, 1), (105, 7), (106, 1), (108, 1), (109, 3), (111, 1), (112, 2), (113, 1), (114, 1), (117, 2), (118, 5), (119, 2), (120, 1), (122, 1), (127, 1), (128, 1), (129, 1), (131, 2), (133, 5), (134, 1), (135, 2), (136, 3), (137, 2), (138, 1), (139, 2), (140, 1), (142, 2), (145, 1), (147, 1), (149, 1), (151, 1), (153, 2), (155, 2), (156, 1), (157, 1), (160, 3), (162, 2), (163, 1), (164, 1), (165, 2), (166, 1), (169, 3), (171, 2), (172, 3), (173, 1), (174, 3), (175, 2), (176, 1), (177, 1), (179, 4), (180, 2), (181, 1), (185, 2), (187, 4), (192, 1), (193, 4), (194, 1), (195, 1), (196, 2), (197, 2), (200, 1), (201, 1)]"
english,"[(0, 1)]"
ajwain,"[(0, 1)]"
leaves,"[(0, 1), (32, 1), (49, 1), (51, 2), (55, 1), (57, 1), (74, 1), (85, 1), (98, 1), (113, 1), (115, 2), (116, 1), (125, 1), (127, 1), (133, 3), (143, 1), (147, 1), (150, 1), (152, 1), (155, 1), (170, 2), (171, 2), (197, 3)]"
hindi,"[(0, 1)]"
karpooravalli,"[(0, 1)]"
tamil,"[(0, 1), (11, 1), (21, 1), (26, 1), (34, 1), (49, 1), (91, 2), (105, 1), (169, 1)]"
owa,"[(0, 1)]"
marathi,"[(0, 1)]"
and,"[(0, 7), (3, 7), (4, 2), (5, 2), (6, 2), (7, 3), (8, 3), (9, 2), (10, 1), (11, 5), (12, 3), (13, 1), (15, 2), (16, 1), (17, 3), (18, 2), (19, 1), (21, 3), (23, 2), (24, 4), (26, 4), (27, 4), (28, 1), (30, 2), (31, 3), (32, 4), (33, 3), (34, 5), (35, 3), (36, 1), (37, 3), (39, 2), (40, 1), (41, 1), (42, 2), (44, 3), (46, 7), (47, 3), (49, 3), (50, 3), (51, 3), (52, 3), (53, 2), (54, 3), (56, 2), (57, 4), (58, 1), (60, 3), (61, 5), (62, 1), (63, 1), (64, 2), (65, 3), (66, 4), (67, 2), (68, 2), (70, 2), (71, 3), (72, 4), (73, 2), (74, 1), (75, 4), (76, 1), (77, 5), (78, 6), (79, 3), (80, 4), (81, 4), (82, 1), (84, 4), (85, 1), (86, 3), (87, 4), (88, 1), (89, 2), (90, 4), (91, 2), (92, 3), (93, 3), (95, 2), (96, 2), (97, 4), (98, 3), (99, 6), (101, 2), (102, 3), (103, 2), (105, 2), (106, 3), (107, 2), (108, 1), (109, 6), (111, 1), (112, 1), (113, 4), (114, 2), (115, 3), (116, 2), (118, 6), (119, 2), (121, 3), (122, 4), (123, 4), (124, 3), (125, 4), (126, 2), (127, 1), (128, 1), (129, 3), (130, 3), (131, 2), (132, 2), (133, 1), (134, 2), (135, 1), (136, 4), (137, 1), (138, 2), (139, 5), (140, 1), (142, 3), (143, 1), (144, 2), (145, 3), (146, 3), (147, 1), (148, 2), (149, 3), (150, 3), (151, 5), (152, 4), (153, 3), (154, 2), (155, 3), (156, 2), (157, 2), (159, 2), (160, 3), (161, 4), (162, 5), (163, 1), (164, 2), (165, 3), (167, 3), (168, 2), (169, 2), (170, 2), (171, 3), (172, 2), (173, 2), (174, 3), (175, 1), (176, 1), (177, 2), (178, 1), (179, 2), (180, 1), (181, 2), (184, 2), (185, 1), (186, 6), (187, 1), (188, 4), (189, 3), (190, 1), (191, 4), (192, 3), (194, 4), (196, 1), (197, 3), (198, 4), (199, 2), (200, 2), (201, 3)]"
pani,"[(0, 1)]"
koorka,"[(0, 1)]"
malayalam,"[(0, 1), (162, 1)]"
to,"[(0, 3), (2, 1), (3, 1), (5, 1), (6, 1), (7, 1), (9, 1), (10, 1), (11, 1), (12, 2), (15, 2), (18, 2), (21, 2), (23, 2), (24, 2), (26, 1), (27, 1), (32, 1), (33, 1), (34, 3), (35, 1), (36, 1), (37, 1), (38, 1), (40, 2), (44, 1), (46, 1), (47, 1), (49, 2), (50, 2), (51, 4), (52, 1), (54, 1), (57, 1), (58, 1), (60, 3), (61, 2), (62, 1), (63, 1), (64, 1), (67, 1), (69, 1), (70, 1), (72, 1), (73, 1), (74, 1), (75, 3), (76, 2), (77, 1), (78, 5), (79, 1), (81, 2), (83, 3), (85, 1), (86, 1), (87, 2), (88, 1), (93, 2), (97, 1), (98, 1), (99, 1), (100, 3), (101, 1), (102, 2), (103, 1), (109, 1), (110, 3), (111, 1), (114, 1), (115, 1), (117, 2), (118, 1), (119, 1), (121, 2), (122, 3), (125, 1), (126, 2), (129, 1), (130, 2), (131, 1), (136, 3), (137, 2), (138, 2), (145, 3), (147, 1), (148, 2), (149, 1), (151, 8), (152, 1), (156, 1), (159, 1), (162, 1), (163, 1), (165, 2), (167, 2), (169, 1), (171, 2), (172, 3), (175, 1), (177, 1), (179, 1), (181, 2), (185, 1), (186, 2), (189, 2), (191, 1), (192, 2), (194, 2), (196, 3), (197, 2), (198, 2), (199, 1), (201, 1)]"
have,"[(0, 2), (1, 1), (8, 1), (13, 1), (18, 2), (24, 1), (37, 2), (38, 1), (47, 2), (49, 1), (58, 1), (85, 1), (91, 1), (100, 1), (116, 1), (118, 1), (124, 1), (140, 1), (146, 1), (157, 1), (158, 2), (165, 1), (186, 1), (196, 1), (198, 1)]"
lot,"[(0, 1), (9, 1), (38, 1), (133, 1), (140, 1)]"
of,"[(0, 2), (3, 2), (6, 2), (7, 2), (9, 1), (10, 1), (11, 4), (12, 2), (15, 2), (16, 3), (17, 2), (18, 1), (19, 2), (20, 1), (23, 2), (25, 1), (26, 1), (27, 2), (31, 2), (32, 1), (33, 2), (35, 3), (36, 1), (37, 1), (38, 4), (39, 1), (41, 2), (42, 1), (46, 4), (49, 3), (51, 1), (52, 1), (53, 2), (54, 3), (56, 2), (57, 2), (58, 3), (60, 2), (62, 1), (63, 5), (64, 1), (65, 1), (66, 2), (68, 3), (70, 1), (71, 1), (73, 1), (74, 2), (75, 2), (77, 4), (78, 3), (80, 2), (81, 1), (83, 1), (84, 2), (85, 3), (87, 4), (88, 1), (89, 1), (90, 1), (91, 1), (96, 2), (98, 2), (99, 2), (100, 1), (103, 1), (105, 6), (108, 4), (109, 1), (110, 1), (111, 3), (116, 1), (117, 1), (118, 2), (120, 3), (121, 2), (122, 3), (123, 1), (126, 1), (129, 1), (130, 1), (131, 1), (133, 3), (136, 1), (137, 3), (139, 1), (140, 2), (142, 5), (144, 1), (145, 1), (146, 3), (149, 1), (150, 1), (151, 1), (153, 1), (154, 1), (155, 1), (156, 2), (157, 2), (158, 1), (159, 2), (161, 1), (162, 4), (165, 1), (166, 4), (169, 3), (170, 1), (172, 2), (173, 3), (174, 1), (175, 1), (179, 4), (180, 3), (181, 1), (182, 1), (184, 1), (186, 1), (187, 2), (188, 1), (192, 1), (193, 3), (195, 1), (196, 3), (197, 2), (198, 2), (200, 2)]"
medicinal,"[(0, 1), (27, 1)]"
values,"[(0, 1), (100, 1)]"
it,"[(0, 4), (1, 2), (5, 1), (7, 1), (9, 2), (11, 3), (12, 2), (13, 1), (14, 1), (15, 3), (16, 2), (18, 1), (21, 3), (26, 1), (27, 3), (31, 2), (33, 1), (34, 5), (37, 2), (41, 5), (47, 2), (48, 1), (49, 2), (50, 1), (51, 1), (52, 2), (54, 3), (60, 6), (63, 3), (66, 1), (69, 1), (71, 1), (72, 1), (73, 2), (75, 3), (76, 3), (77, 1), (78, 1), (79, 1), (80, 3), (81, 1), (84, 2), (85, 1), (88, 1), (92, 1), (95, 2), (101, 3), (103, 2), (107, 2), (108, 5), (109, 2), (111, 1), (113, 1), (116, 2), (117, 1), (118, 1), (119, 1), (120, 1), (124, 3), (126, 1), (131, 1), (133, 1), (136, 1), (138, 2), (139, 1), (144, 2), (145, 4), (146, 1), (149, 1), (150, 1), (151, 4), (156, 1), (160, 2), (161, 1), (162, 2), (163, 1), (164, 2), (167, 2), (168, 1), (169, 1), (171, 2), (174, 1), (177, 2), (178, 1), (179, 1), (180, 2), (182, 1), (184, 1), (191, 2), (194, 3), (196, 1)]"
has,"[(0, 1), (5, 1), (6, 2), (19, 1), (23, 1), (27, 1), (47, 1), (52, 1), (54, 1), (58, 1), (60, 1), (61, 2), (66, 1), (67, 1), (89, 1), (93, 1), (96, 1), (98, 1), (112, 1), (120, 1), (122, 1), (125, 1), (145, 1), (160, 1), (162, 1), (168, 1), (187, 1)]"
very,"[(0, 1), (8, 1), (11, 2), (12, 1), (26, 1), (34, 2), (36, 1), (37, 1), (49, 1), (52, 1), (65, 1), (69, 1), (75, 1), (76, 1), (78, 1), (84, 2), (86, 1), (92, 1), (95, 1), (97, 1), (98, 2), (105, 1), (106, 1), (108, 2), (119, 1), (125, 3), (126, 1), (138, 3), (145, 1), (149, 1), (155, 1), (159, 1), (168, 1), (178, 1), (180, 1), (187, 1), (189, 1)]"
distinct,"[(0, 1), (32, 1)]"
smell,"[(0, 1)]"
flavour,"[(0, 1), (12, 1), (33, 1), (44, 1), (51, 2), (52, 1), (60, 1), (69, 1), (75, 1), (85, 1), (88, 1), (96, 1), (115, 1), (116, 2), (126, 1), (133, 1), (144, 1), (147, 1), (155, 1), (164, 1), (194, 1), (201, 1)]"
which,"[(0, 2), (4, 1), (5, 1), (8, 1), (11, 1), (16, 1), (19, 1), (23, 1), (26, 1), (28, 1), (33, 1), (38, 1), (39, 1), (41, 1), (47, 1), (52, 1), (58, 1), (62, 3), (66, 1), (73, 1), (74, 1), (75, 1), (77, 1), (78, 2), (88, 1), (91, 1), (95, 1), (99, 1), (101, 2), (109, 1), (112, 1), (113, 1), (114, 1), (117, 1), (120, 1), (121, 1), (123, 2), (132, 1), (144, 1), (146, 1), (159, 1), (161, 1), (165, 1), (171, 1), (172, 3), (174, 1), (179, 3), (180, 1), (186, 1), (187, 1), (188, 1), (192, 2)]"
resembles,"[(0, 1)]"
camphor,"[(0, 1)]"
improve,"[(0, 1), (99, 1)]"
digestion,"[(0, 1), (9, 1)]"
relieve,"[(0, 1)]"
chest,"[(0, 1)]"
congestion,"[(0, 1)]"
overall,"[(0, 1), (31, 1)]"
good,"[(0, 1), (4, 1), (9, 1), (21, 1), (27, 1), (37, 1), (60, 1), (63, 1), (76, 1), (82, 1), (95, 1), (137, 1), (179, 1)]"
health,"[(0, 1), (31, 1), (54, 1), (60, 1), (101, 1), (125, 1), (160, 1), (187, 1)]"
benefits,"[(0, 1), (54, 1), (101, 1), (110, 1), (125, 1), (160, 1), (187, 1)]"
reduces,"[(0, 1), (9, 1)]"
skin,"[(0, 1), (42, 1), (108, 1), (186, 1)]"
related,"[(0, 1)]"
issues,"[(0, 1)]"
when,"[(0, 1), (8, 1), (10, 1), (13, 1), (57, 1), (62, 1), (74, 1), (81, 1), (99, 1), (101, 1), (109, 1), (111, 1), (124, 1), (126, 1), (146, 1), (155, 1), (184, 1), (188, 1), (192, 2), (194, 1), (198, 1)]"
crushed,"[(0, 1), (81, 1)]"
the,"[(0, 3), (1, 1), (2, 1), (3, 3), (6, 5), (8, 1), (9, 3), (10, 1), (11, 1), (12, 1), (13, 1), (15, 3), (16, 2), (17, 3), (18, 2), (19, 3), (20, 2), (21, 3), (22, 1), (23, 3), (24, 1), (25, 3), (26, 1), (27, 5), (29, 1), (31, 2), (32, 2), (33, 1), (34, 1), (35, 4), (37, 1), (39, 1), (40, 2), (42, 2), (44, 3), (46, 3), (47, 8), (48, 3), (49, 11), (50, 1), (51, 2), (52, 1), (53, 3), (54, 3), (55, 1), (56, 3), (57, 7), (58, 4), (60, 4), (62, 3), (63, 1), (64, 3), (65, 5), (66, 2), (67, 2), (68, 3), (69, 2), (70, 1), (71, 1), (72, 1), (73, 6), (74, 1), (75, 1), (76, 3), (77, 3), (78, 3), (80, 3), (81, 4), (82, 1), (83, 3), (84, 2), (85, 4), (88, 1), (89, 3), (90, 2), (93, 1), (95, 1), (96, 3), (97, 1), (98, 5), (99, 1), (100, 2), (101, 2), (102, 2), (103, 1), (105, 4), (106, 1), (108, 1), (109, 7), (110, 1), (111, 4), (112, 3), (113, 3), (114, 4), (115, 5), (116, 2), (117, 2), (118, 5), (120, 7), (121, 3), (122, 3), (123, 2), (124, 3), (125, 1), (127, 1), (129, 2), (130, 1), (131, 1), (132, 2), (133, 3), (134, 1), (135, 2), (136, 7), (137, 1), (139, 2), (141, 1), (142, 2), (143, 2), (144, 3), (145, 1), (146, 3), (147, 1), (148, 2), (149, 4), (150, 1), (152, 2), (153, 3), (155, 1), (156, 5), (157, 3), (158, 3), (162, 7), (164, 2), (165, 4), (166, 4), (168, 2), (169, 5), (170, 2), (172, 3), (173, 1), (174, 5), (175, 2), (176, 1), (177, 3), (178, 1), (179, 4), (180, 3), (181, 2), (182, 1), (184, 2), (185, 1), (186, 4), (188, 3), (191, 2), (192, 1), (193, 6), (194, 1), (196, 3), (197, 3), (198, 6), (199, 2), (200, 2), (201, 1)]"
juice,"[(0, 1), (27, 1), (42, 1), (50, 1), (116, 1)]"
applied,"[(0, 1)]"
on,"[(0, 1), (8, 1), (11, 1), (34, 1), (46, 1), (47, 2), (49, 1), (62, 1), (73, 1), (77, 1), (78, 1), (97, 2), (108, 1), (112, 2), (113, 1), (124, 2), (139, 2), (163, 2), (171, 1), (179, 1), (194, 1)]"
sensitive,"[(0, 1)]"
areas,"[(0, 1)]"
made,"[(0, 1), (2, 1), (4, 1), (7, 1), (8, 1), (9, 1), (11, 3), (15, 2), (19, 1), (22, 1), (23, 1), (24, 1), (26, 1), (27, 1), (28, 1), (29, 1), (32, 1), (33, 1), (37, 2), (38, 1), (39, 1), (42, 1), (43, 1), (44, 1), (54, 1), (55, 1), (58, 1), (61, 1), (65, 1), (66, 1), (67, 1), (70, 2), (71, 1), (74, 1), (75, 1), (76, 1), (77, 1), (78, 1), (80, 1), (81, 1), (82, 1), (83, 1), (84, 1), (85, 1), (87, 1), (88, 1), (89, 1), (90, 1), (92, 1), (93, 1), (97, 1), (98, 1), (99, 3), (105, 1), (106, 1), (108, 3), (112, 1), (113, 1), (115, 1), (120, 1), (122, 1), (124, 1), (129, 1), (133, 1), (134, 1), (135, 2), (138, 1), (140, 1), (141, 1), (143, 1), (146, 1), (149, 1), (150, 1), (152, 1), (153, 1), (158, 1), (159, 1), (161, 1), (162, 2), (166, 2), (170, 1), (171, 3), (172, 1), (174, 1), (179, 1), (180, 3), (181, 1), (182, 1), (183, 1), (184, 1), (187, 1), (188, 1), (190, 1), (191, 1), (194, 1)]"
by,"[(0, 1), (15, 1), (23, 1), (25, 1), (30, 1), (36, 1), (38, 1), (45, 1), (46, 1), (54, 1), (55, 1), (76, 3), (93, 1), (101, 1), (106, 1), (124, 1), (158, 1), (165, 1), (175, 1), (190, 1)]"
grinding,"[(0, 1)]"
herb,"[(0, 1), (65, 1)]"
vegetable,"[(0, 1), (6, 2), (11, 2), (54, 1), (57, 1), (60, 3), (76, 2), (93, 1), (95, 1), (109, 2), (112, 1), (143, 2), (151, 1), (153, 2), (158, 1), (174, 2), (175, 2), (179, 1), (181, 1), (182, 1), (191, 1), (192, 1)]"
or,"[(0, 2), (1, 1), (9, 1), (10, 1), (15, 1), (24, 1), (27, 3), (29, 1), (31, 1), (33, 1), (34, 1), (36, 1), (37, 1), (41, 3), (45, 1), (53, 2), (54, 2), (60, 1), (62, 1), (69, 1), (71, 2), (72, 2), (75, 3), (76, 1), (78, 1), (83, 1), (89, 1), (95, 5), (97, 1), (99, 1), (101, 1), (103, 1), (107, 1), (108, 1), (109, 1), (110, 1), (111, 1), (114, 1), (118, 1), (123, 2), (126, 1), (128, 1), (133, 2), (135, 1), (136, 2), (143, 1), (146, 1), (151, 1), (156, 1), (157, 1), (159, 2), (163, 1), (165, 1), (166, 1), (171, 2), (174, 1), (177, 2), (179, 1), (183, 1), (184, 1), (185, 1), (186, 2), (187, 1), (190, 1), (191, 1), (196, 3), (197, 1)]"
spice,"[(0, 1), (12, 2), (34, 1), (47, 1), (51, 1), (70, 1), (84, 1), (91, 1), (106, 1), (123, 1), (144, 1), (161, 1), (174, 1), (191, 1)]"
